# Worldcrafter saved map.,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldcrafter Save File,,,,,,,,,,,,,,,,,,,,,,,,,,
File Version,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
Map_data,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,57
61,,,,,,,,,,,,,,,,,,,,,,,,,,57
61,,,,,,,,,57,,,,,M:8,,M:8,M:8,M:8,,60,57,,,,,57
61,,,,,,,7,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,,,,57
61,,,,,,,7,,,,,,,,,,,,,,,,,,,57
61,,,,,,,7,,,,,,,,,,,,,,,,,,,57
61,,,,,,,7,,,,,,,,,,,,,,,,,,,57
61,,,,,,,,,,,,,,,,,,,,,,,,,,57
61,,,,,,,,,,,,,,,,,,,,,,,,,,57
61,,,,,,,56,,,,,,,,,,,,,,,,,,,57
61,50,,,,,,31,,,59,,,,,,,,,,,,,,,,57
61,62,,,,,,,,,31,,,,,,,,,,,,,,,,57
61,62,,,,,,,,,,,,,,,,,,,,,,,,,57
61,62,,,,,,,,31,,,,,,,,,,,,,,,,,57
61,62,,,,,,,,,,,,,,,,,,,,,,50,,,57
61,62,,31,,,,31,,,,,,,,,,,,,,,,62,,,57
61,62,,62,,,,62,,,,,,,,,,,,,,,,62,,,57
61,62,,62,,,,62,,,,,,,61,,,,,,,,,62,,,57
61,62,,62,,,,62,,,,,31,31,31,,,,31,31,31,31,31,62,,,57
61,,,62,,,,62,,,,,,,,,,,,,,,,62,,,57
61,,,62,,,,62,,,,,,,,,,,,,,,,62,,,57
61,,,62,,,,62,,,,,,,,,,,,,,,,62,,,57
61,,,62,,,,62,,,,,,,,,,,,,,,,,,,57
61,,,,,,,,,,,,,,,,,,,,,,59,,,,57
61,,,,,,,,,,,,,50,,,,31,31,31,31,25,31,,,,57
61,,,,,,,,,,,,,,,,,,,,,,,,,,57
61,,,,,,,,,,,,50,,30,30,30,,,,,,,,,,57
61,,,,,,,,,,,,,,50,50,50,,,,,,,,,,57
61,,,,,,,,,,,50,,,,,,,,,,,,,,,57
61,,,,,,,,,,,,,,,,,,,,,,,,,,57
61,,,,7,50,50,50,50,50,,,,,,,,,,,,,,,,,57
61,,,,7,,,,,,,,,,,,,,,,,,,,,,57
61,,,,7,,,,,,,,,,,,,,,,,,,,,,57
61,,,,7,,,,,,,,,,,,,,,,,,,,,,57
61,,,,7,,,,,,,,,,,,,,,,,,,,,,57
61,,,,7,,,,,50,50,50,50,,,,50,,,,,,,,,,57
61,,,,7,,,,,,,,,,,,62,,,,,,,,,,57
61,,,50,50,50,,,,,,,,,,,62,,,57,,,,,,,57
61,,,,,,,,,,,,,,,,62,50,50,50,50,50,,,,,57
61,,,,,,,,,,,,,,,,62,,,,,,,,,,57
61,1,,,,,,,,,,,,,,,62,,,,,,,,,,57
61,51,,56,,,38,,,,,,38,,,,62,,,38,6,,6,,38,,57
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
#,2,Grass,,,,,,,,,,,,,,,,,,,,,,,,
#,3,Soil,,,,,,,,,,,,,,,,,,,,,,,,
#,4,Rock,,,,,,,,,,,,,,,,,,,,,,,,
#,5,Water,,,,,,,,,,,,,,,,,,,,,,,,
#,6,Fire,,,,,,,,,,,,,,,,,,,,,,,,
#,7,Ladder,,,,,,,,,,,,,,,,,,,,,,,,
#,8,Wood,,,,,,,,,,,,,,,,,,,,,,,,
#,9,Dynamite,,,,,,,,,,,,,,,,,,,,,,,,
#,10,Tangleweed,,,,,,,,,,,,,,,,,,,,,,,,
#,11,Apple,,,,,,,,,,,,,,,,,,,,,,,,
#,12,Chest,,,,,,,,,,,,,,,,,,,,,,,,
#,14,Coal,,,,,,,,,,,,,,,,,,,,,,,,
#,15,Gold,,,,,,,,,,,,,,,,,,,,,,,,
#,16,Lava,,,,,,,,,,,,,,,,,,,,,,,,
#,17,Monster gen,,,,,,,,,,,,,,,,,,,,,,,,
#,23,Admantium,,,,,,,,,,,,,,,,,,,,,,,,
#,25,Sand,,,,,,,,,,,,,,,,,,,,,,,,
#,29,Amulet,,,,,,,,,,,,,,,,,,,,,,,,
#,30,Slime,,,,,,,,,,,,,,,,,,,,,,,,
#,31,Stone,,,,,,,,,,,,,,,,,,,,,,,,
#,33,Girder,,,,,,,,,,,,,,,,,,,,,,,,
#,38,Weeds,,,,,,,,,,,,,,,,,,,,,,,,
#,40,Sticks,,,,,,,,,,,,,,,,,,,,,,,,
#,48,Glass,,,,,,,,,,,,,,,,,,,,,,,,
#,49,Clay,,,,,,,,,,,,,,,,,,,,,,,,
#,50,Bricks,,,,,,,,,,,,,,,,,,,,,,,,
#,51,Bed,,,,,,,,,,,,,,,,,,,,,,,,
#,56,Shuriken,,,,,,,,,,,,,,,,,,,,,,,,
#,57,Crate,,,,,,,,,,,,,,,,,,,,,,,,
#,58,Medikit,,,,,,,,,,,,,,,,,,,,,,,,
#,59,Savepoint,,,,,,,,,,,,,,,,,,,,,,,,
#,60,End of Level,,,,,,,,,,,,,,,,,,,,,,,,
#,61,Barrel,,,,,,,,,,,,,,,,,,,,,,,,
#,62,Rope,,,,,,,,,,,,,,,,,,,,,,,,
