File Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
23,,,1,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,33,,,,23
23,,,2,2,2,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,33,33,33,33,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,,,3,3,3,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,23
23,6,6,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6,6,6,6,23
23,23,23,3,3,3,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,3,3,3,3,23,23,23,23,23,23,23,23,23,23
